date,hour,air_temp_1m,air_temp_5m
5/8/22,2400,,-1.329
5/9/22,100,,-1.839
5/9/22,200,,-2.845
5/9/22,300,,-2.235
5/9/22,400,,-2.695
5/9/22,500,,-3.454
5/9/22,600,,-1.858
5/9/22,700,,-1.026
5/9/22,800,,-0.768
5/9/22,900,,-1.554
5/9/22,1000,,-1.03
5/9/22,1100,,-0.498
5/9/22,1200,,-0.415
5/9/22,1300,,-1.671
5/9/22,1400,,-2.521
5/9/22,1500,,-2.612
5/9/22,1600,,-3.366
5/9/22,1700,,-5.02
5/9/22,1800,,-6.567
5/9/22,1900,,-7.441
5/9/22,2000,,-7.917
5/9/22,2100,,-8.43
5/9/22,2200,,-8.79
5/9/22,2300,,-9.25
5/9/22,2400,,-9.28
5/10/22,100,,-9.23
5/10/22,200,,-9.16
5/10/22,300,,-9.53
5/10/22,400,,-9.54
5/10/22,500,,-9.53
5/10/22,600,,-9.51
5/10/22,700,,-9.39
5/10/22,800,,-9.49
5/10/22,900,,-9.82
5/10/22,1000,,-9.6
5/10/22,1100,,-9.44
5/10/22,1200,,-8.91
5/10/22,1300,,-8.49
5/10/22,1400,,-8.5
5/10/22,1500,,-8.26
5/10/22,1600,,-7.967
5/10/22,1700,,-7.106
5/10/22,1800,,-5.294
5/10/22,1900,,-3.939
5/10/22,2000,,-3.047
5/10/22,2100,,-4.356
5/10/22,2200,,-6.173
5/10/22,2300,,-7.271
5/10/22,2400,,-7.685
5/11/22,100,,-7.92
5/11/22,200,,-7.976
5/11/22,300,,-7.005
5/11/22,400,,-8.14
5/11/22,500,,-5.006
5/11/22,600,,-2.808
5/11/22,700,,-2.467
5/11/22,800,,-1.139
5/11/22,900,,-1.787
5/11/22,1000,,-2.961
5/11/22,1100,,-2.329
5/11/22,1200,,-1.303
5/11/22,1300,,-1.291
5/11/22,1400,,-1.618
5/11/22,1500,,-2.016
5/11/22,1600,,-2
5/11/22,1700,,-2.273
5/11/22,1800,,-2.319
5/11/22,1900,,-2.667
5/11/22,2000,,-2.438
5/11/22,2100,,-2.445
5/11/22,2200,,-2.989
5/11/22,2300,,-4.546
5/11/22,2400,,-5.025
5/12/22,100,,-5.667
5/12/22,200,,-5.823
5/12/22,300,,-5.972
5/12/22,400,,-4.857
5/12/22,500,,-4.666
5/12/22,600,,-4.476
5/12/22,700,,-3.612
5/12/22,800,,-2.05
5/12/22,900,,-0.988
5/12/22,1000,,-1.113
5/12/22,1100,,-1.655
5/12/22,1200,,-0.445
5/12/22,1300,,-0.175
5/12/22,1400,,-1.022
5/12/22,1500,,-1.01
5/12/22,1600,,-1.103
5/12/22,1700,,-1.5
5/12/22,1800,,-1.933
5/12/22,1900,,-2.432
5/12/22,2000,,-2.935
5/12/22,2100,,-3.916
5/12/22,2200,,-4.837
5/12/22,2300,,-5.481
5/12/22,2400,,-5.765
5/13/22,100,,-6.263
5/13/22,200,,-7.308
5/13/22,300,,-8.13
5/13/22,400,,-8.48
5/13/22,500,,-8.56
5/13/22,600,,-9.01
5/13/22,700,,-9.65
5/13/22,800,,-9.86
5/13/22,900,,-9.96
5/13/22,1000,,-9.83
5/13/22,1100,,-9.52
5/13/22,1200,,-9.68
5/13/22,1300,,-9.42
5/13/22,1400,,-9.65
5/13/22,1500,,-9.45
5/13/22,1600,,-9.25
5/13/22,1700,,-9.29
5/13/22,1800,,-9.55
5/13/22,1900,,-10.43
5/13/22,2000,,-10.75
5/13/22,2100,,-10.96
5/13/22,2200,,-11.47
5/13/22,2300,,-12.44
5/13/22,2400,,-12.69
5/14/22,100,,-12.36
5/14/22,200,,-12.17
5/14/22,300,,-12.06
