1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5900000039CF7721
Is Mission Active?  true
Mission Start:  Sat Jun 11 23:00:00 AKDT 2022
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1936
Total Samples:  48783
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/11/22, 11:00:00 PM,C,0
6/12/22, 12:00:00 AM,C,-0.5
6/12/22, 1:00:00 AM,C,-0.5
6/12/22, 2:00:00 AM,C,0
6/12/22, 3:00:00 AM,C,0
6/12/22, 4:00:00 AM,C,0
6/12/22, 5:00:00 AM,C,0
6/12/22, 6:00:00 AM,C,1
6/12/22, 7:00:00 AM,C,4
6/12/22, 8:00:00 AM,C,5
6/12/22, 9:00:00 AM,C,6.5
6/12/22, 10:00:00 AM,C,5.5
6/12/22, 11:00:00 AM,C,9.5
6/12/22, 12:00:00 PM,C,10.5
6/12/22, 1:00:00 PM,C,9
6/12/22, 2:00:00 PM,C,9.5
6/12/22, 3:00:00 PM,C,8.5
6/12/22, 4:00:00 PM,C,8
6/12/22, 5:00:00 PM,C,7
6/12/22, 6:00:00 PM,C,6
6/12/22, 7:00:00 PM,C,5
6/12/22, 8:00:00 PM,C,3
6/12/22, 9:00:00 PM,C,1.5
6/12/22, 10:00:00 PM,C,0.5
6/12/22, 11:00:00 PM,C,0
6/13/22, 12:00:00 AM,C,0
6/13/22, 1:00:00 AM,C,0
6/13/22, 2:00:00 AM,C,0
6/13/22, 3:00:00 AM,C,0
6/13/22, 4:00:00 AM,C,0
6/13/22, 5:00:00 AM,C,0.5
6/13/22, 6:00:00 AM,C,4
6/13/22, 7:00:00 AM,C,6.5
6/13/22, 8:00:00 AM,C,8
6/13/22, 9:00:00 AM,C,9
6/13/22, 10:00:00 AM,C,9.5
6/13/22, 11:00:00 AM,C,10
6/13/22, 12:00:00 PM,C,10
6/13/22, 1:00:00 PM,C,10.5
6/13/22, 2:00:00 PM,C,11
6/13/22, 3:00:00 PM,C,11.5
6/13/22, 4:00:00 PM,C,10.5
6/13/22, 5:00:00 PM,C,10.5
6/13/22, 6:00:00 PM,C,7.5
6/13/22, 7:00:00 PM,C,6
6/13/22, 8:00:00 PM,C,4.5
6/13/22, 9:00:00 PM,C,3
6/13/22, 10:00:00 PM,C,1
6/13/22, 11:00:00 PM,C,0
6/14/22, 12:00:00 AM,C,-1
6/14/22, 1:00:00 AM,C,-0.5
6/14/22, 2:00:00 AM,C,0
